order_date,return_customers,return_customers_actableai,max_return_customers_actableai,min_return_customer_actableai,return_customer_tableau,max_return_customer_tableau,min_return_customer_tableau,new_customers,new_customers_actableai,max_new_customers_actableai,min_new_customers_actableai,new_customers_tableau,max_new_customers_tableau,min_new_customers_tableau
6/21/2007,,,,,,,,1,1,1,1,1,1,1
6/27/2007,,,,,,,,1,1,1,1,1,1,1
7/2/2007,,,,,,,,1,1,1,1,1,1,1
7/14/2007,,,,,,,,1,1,1,1,1,1,1
7/21/2007,,,,,,,,2,2,2,2,2,2,2
7/25/2007,,,,,,,,2,2,2,2,2,2,2
8/9/2007,,,,,,,,1,1,1,1,1,1,1
8/13/2007,,,,,,,,1,1,1,1,1,1,1
8/20/2007,,,,,,,,1,1,1,1,1,1,1
8/21/2007,,,,,,,,1,1,1,1,1,1,1
8/30/2007,,,,,,,,1,1,1,1,1,1,1
9/3/2007,,,,,,,,1,1,1,1,1,1,1
9/7/2007,,,,,,,,2,2,2,2,2,2,2
9/19/2007,,,,,,,,1,1,1,1,1,1,1
9/27/2007,,,,,,,,1,1,1,1,1,1,1
9/28/2007,,,,,,,,2,2,2,2,2,2,2
10/17/2007,,,,,,,,1,1,1,1,1,1,1
10/22/2007,,,,,,,,1,1,1,1,1,1,1
10/29/2007,,,,,,,,1,1,1,1,1,1,1
11/5/2007,,,,,,,,1,1,1,1,1,1,1
11/7/2007,,,,,,,,1,1,1,1,1,1,1
11/8/2007,,,,,,,,1,1,1,1,1,1,1
11/9/2007,,,,,,,,1,1,1,1,1,1,1
11/10/2007,,,,,,,,1,1,1,1,1,1,1
11/11/2007,,,,,,,,1,1,1,1,1,1,1
11/13/2007,,,,,,,,2,2,2,2,2,2,2
11/21/2007,,,,,,,,1,1,1,1,1,1,1
11/28/2007,,,,,,,,1,1,1,1,1,1,1
11/29/2007,,,,,,,,1,1,1,1,1,1,1
11/30/2007,,,,,,,,1,1,1,1,1,1,1
12/5/2007,,,,,,,,1,1,1,1,1,1,1
12/6/2007,,,,,,,,1,1,1,1,1,1,1
12/7/2007,,,,,,,,2,2,2,2,2,2,2
12/10/2007,,,,,,,,2,2,2,2,2,2,2
12/18/2007,,,,,,,,1,1,1,1,1,1,1
1/3/2008,,,,,,,,1,1,1,1,1,1,1
1/8/2008,,,,,,,,1,1,1,1,1,1,1
1/9/2008,,,,,,,,1,1,1,1,1,1,1
1/11/2008,,,,,,,,3,3,3,3,3,3,3
1/17/2008,,,,,,,,1,1,1,1,1,1,1
1/18/2008,,,,,,,,1,1,1,1,1,1,1
1/19/2008,,,,,,,,1,1,1,1,1,1,1
1/20/2008,,,,,,,,1,1,1,1,1,1,1
1/22/2008,,,,,,,,1,1,1,1,1,1,1
1/23/2008,,,,,,,,1,1,1,1,1,1,1
1/27/2008,,,,,,,,2,2,2,2,2,2,2
1/29/2008,,,,,,,,1,1,1,1,1,1,1
1/31/2008,,,,,,,,1,1,1,1,1,1,1
2/4/2008,,,,,,,,2,2,2,2,2,2,2
2/5/2008,,,,,,,,3,3,3,3,3,3,3
2/7/2008,,,,,,,,2,2,2,2,2,2,2
2/8/2008,,,,,,,,1,1,1,1,1,1,1
2/10/2008,,,,,,,,1,1,1,1,1,1,1
2/17/2008,,,,,,,,1,1,1,1,1,1,1
2/18/2008,,,,,,,,1,1,1,1,1,1,1
2/20/2008,,,,,,,,1,1,1,1,1,1,1
2/22/2008,,,,,,,,1,1,1,1,1,1,1
2/24/2008,,,,,,,,1,1,1,1,1,1,1
2/25/2008,,,,,,,,2,2,2,2,2,2,2
2/27/2008,,,,,,,,1,1,1,1,1,1,1
3/2/2008,,,,,,,,1,1,1,1,1,1,1
3/3/2008,,,,,,,,1,1,1,1,1,1,1
3/4/2008,,,,,,,,1,1,1,1,1,1,1
3/5/2008,,,,,,,,1,1,1,1,1,1,1
3/7/2008,,,,,,,,1,1,1,1,1,1,1
3/8/2008,,,,,,,,1,1,1,1,1,1,1
3/10/2008,,,,,,,,1,1,1,1,1,1,1
3/16/2008,,,,,,,,1,1,1,1,1,1,1
3/19/2008,,,,,,,,1,1,1,1,1,1,1
3/20/2008,,,,,,,,1,1,1,1,1,1,1
3/27/2008,,,,,,,,1,1,1,1,1,1,1
3/28/2008,,,,,,,,1,1,1,1,1,1,1
4/6/2008,1,1,1,1,1,1,1,,,,,,,
4/7/2008,,,,,,,,1,1,1,1,1,1,1
4/10/2008,,,,,,,,1,1,1,1,1,1,1
4/11/2008,,,,,,,,1,1,1,1,1,1,1
4/14/2008,,,,,,,,1,1,1,1,1,1,1
4/16/2008,,,,,,,,1,1,1,1,1,1,1
4/17/2008,,,,,,,,2,2,2,2,2,2,2
4/18/2008,,,,,,,,2,2,2,2,2,2,2
4/21/2008,,,,,,,,2,2,2,2,2,2,2
4/24/2008,,,,,,,,1,1,1,1,1,1,1
4/25/2008,,,,,,,,1,1,1,1,1,1,1
4/28/2008,,,,,,,,1,1,1,1,1,1,1
4/29/2008,,,,,,,,2,2,2,2,2,2,2
5/1/2008,,,,,,,,3,3,3,3,3,3,3
5/3/2008,,,,,,,,1,1,1,1,1,1,1
5/7/2008,,,,,,,,1,1,1,1,1,1,1
5/9/2008,,,,,,,,2,2,2,2,2,2,2
5/11/2008,,,,,,,,1,1,1,1,1,1,1
5/12/2008,1,1,1,1,1,1,1,,,,,,,
5/16/2008,,,,,,,,1,1,1,1,1,1,1
5/17/2008,,,,,,,,1,1,1,1,1,1,1
5/19/2008,,,,,,,,1,1,1,1,1,1,1
5/22/2008,,,,,,,,2,2,2,2,2,2,2
5/23/2008,,,,,,,,1,1,1,1,1,1,1
5/27/2008,,,,,,,,2,2,2,2,2,2,2
5/30/2008,,,,,,,,1,1,1,1,1,1,1
5/31/2008,,,,,,,,1,1,1,1,1,1,1
6/2/2008,,,,,,,,1,1,1,1,1,1,1
6/3/2008,,,,,,,,1,1,1,1,1,1,1
6/4/2008,,,,,,,,1,1,1,1,1,1,1
6/6/2008,,,,,,,,3,3,3,3,3,3,3
6/8/2008,,,,,,,,1,1,1,1,1,1,1
6/10/2008,,,,,,,,1,1,1,1,1,1,1
6/11/2008,,,,,,,,2,2,2,2,2,2,2
6/12/2008,,,,,,,,1,1,1,1,1,1,1
6/13/2008,,,,,,,,1,1,1,1,1,1,1
6/16/2008,1,1,1,1,1,1,1,2,2,2,2,2,2,2
6/17/2008,,,,,,,,2,2,2,2,2,2,2
6/19/2008,,,,,,,,1,1,1,1,1,1,1
6/22/2008,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6/23/2008,,,,,,,,3,3,3,3,3,3,3
6/24/2008,1,1,1,1,1,1,1,3,3,3,3,3,3,3
6/25/2008,,,,,,,,4,4,4,4,4,4,4
6/28/2008,,,,,,,,1,1,1,1,1,1,1
6/29/2008,,,,,,,,2,2,2,2,2,2,2
6/30/2008,1,1,1,1,1,1,1,,,,,,,
7/2/2008,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7/3/2008,,,,,,,,1,1,1,1,1,1,1
7/4/2008,,,,,,,,1,1,1,1,1,1,1
7/5/2008,,,,,,,,1,1,1,1,1,1,1
7/6/2008,,,,,,,,1,1,1,1,1,1,1
7/8/2008,,,,,,,,1,1,1,1,1,1,1
7/9/2008,,,,,,,,2,2,2,2,2,2,2
7/10/2008,,,,,,,,2,2,2,2,2,2,2
7/11/2008,,,,,,,,2,2,2,2,2,2,2
7/12/2008,,,,,,,,3,3,3,3,3,3,3
7/13/2008,2,2,2,2,2,2,2,2,2,2,2,2,2,2
7/14/2008,,,,,,,,2,2,2,2,2,2,2
7/15/2008,,,,,,,,1,1,1,1,1,1,1
7/16/2008,,,,,,,,1,1,1,1,1,1,1
7/18/2008,,,,,,,,1,1,1,1,1,1,1
7/19/2008,,,,,,,,1,1,1,1,1,1,1
7/20/2008,,,,,,,,2,2,2,2,2,2,2
7/22/2008,,,,,,,,1,1,1,1,1,1,1
7/23/2008,,,,,,,,1,1,1,1,1,1,1
7/24/2008,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7/27/2008,,,,,,,,3,3,3,3,3,3,3
7/29/2008,,,,,,,,1,1,1,1,1,1,1
7/30/2008,,,,,,,,2,2,2,2,2,2,2
8/1/2008,1,1,1,1,1,1,1,3,3,3,3,3,3,3
8/2/2008,,,,,,,,1,1,1,1,1,1,1
8/5/2008,,,,,,,,2,2,2,2,2,2,2
8/6/2008,,,,,,,,2,2,2,2,2,2,2
8/7/2008,,,,,,,,2,2,2,2,2,2,2
8/8/2008,,,,,,,,4,4,4,4,4,4,4
8/9/2008,,,,,,,,4,4,4,4,4,4,4
8/10/2008,,,,,,,,1,1,1,1,1,1,1
8/11/2008,,,,,,,,2,2,2,2,2,2,2
8/12/2008,,,,,,,,3,3,3,3,3,3,3
8/13/2008,,,,,,,,1,1,1,1,1,1,1
8/14/2008,,,,,,,,2,2,2,2,2,2,2
8/15/2008,1,1,1,1,1,1,1,2,2,2,2,2,2,2
8/16/2008,,,,,,,,1,1,1,1,1,1,1
8/19/2008,,,,,,,,1,1,1,1,1,1,1
8/20/2008,,,,,,,,1,1,1,1,1,1,1
8/21/2008,,,,,,,,3,3,3,3,3,3,3
8/24/2008,,,,,,,,2,2,2,2,2,2,2
8/25/2008,1,1,1,1,1,1,1,2,2,2,2,2,2,2
8/26/2008,,,,,,,,5,5,5,5,5,5,5
8/27/2008,,,,,,,,1,1,1,1,1,1,1
8/28/2008,1,1,1,1,1,1,1,,,,,,,
8/29/2008,,,,,,,,2,2,2,2,2,2,2
8/30/2008,,,,,,,,1,1,1,1,1,1,1
8/31/2008,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9/1/2008,,,,,,,,2,2,2,2,2,2,2
9/2/2008,3,3,3,3,3,3,3,2,2,2,2,2,2,2
9/3/2008,,,,,,,,3,3,3,3,3,3,3
9/5/2008,1,1,1,1,1,1,1,2,2,2,2,2,2,2
9/6/2008,,,,,,,,1,1,1,1,1,1,1
9/7/2008,1,1,1,1,1,1,1,2,2,2,2,2,2,2
9/8/2008,,,,,,,,4,4,4,4,4,4,4
9/9/2008,1,1,1,1,1,1,1,3,3,3,3,3,3,3
9/10/2008,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9/11/2008,1,1,1,1,1,1,1,5,5,5,5,5,5,5
9/12/2008,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9/13/2008,,,,,,,,3,3,3,3,3,3,3
9/14/2008,,,,,,,,3,3,3,3,3,3,3
9/15/2008,1,1,1,1,1,1,1,,,,,,,
9/16/2008,,,,,,,,3,3,3,3,3,3,3
9/17/2008,3,3,3,3,3,3,3,,,,,,,
9/18/2008,1,1,1,1,1,1,1,2,2,2,2,2,2,2
9/19/2008,,,,,,,,1,1,1,1,1,1,1
9/20/2008,,,,,,,,1,1,1,1,1,1,1
9/21/2008,,,,,,,,3,3,3,3,3,3,3
9/22/2008,,,,,,,,7,7,7,7,7,7,7
9/23/2008,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9/25/2008,,,,,,,,2,2,2,2,2,2,2
